,S.N,ContractNo,StockSymbol,BuyerBroker,SellerBroker,Quantity,Rate,Amount
0,1,2021120504000025,SHL,28,33,100,215,21500.00
1,2,2021120504000024,HDHPC,34,8,50,345,17250.00
2,3,2021120504000023,HDHPC,47,8,50,345,17250.00
3,4,2021120504000022,UPPER,44,8,14,625,8750.00
4,5,2021120504000021,JOSHI,41,8,30,372.4,11172.00
5,6,2021120504000020,KPCL,34,45,10,586.3,5863.00
6,7,2021120504000019,RADHI,34,34,10,601,6010.00
7,8,2021120504000018,CHL,14,35,10,505.7,5057.00
8,9,2021120504000017,AKPL,48,8,10,563,5630.00
9,10,2021120503000016,MLBSL,34,33,15,3959,59385.00
10,11,2021120503000015,MLBSL,45,33,25,3959,98975.00
11,12,2021120503000014,MLBSL,26,33,10,3959,39590.00
12,13,2021120503000013,NIFRA,38,21,10,316.2,3162.00
13,14,2021120503000012,SABSL,49,41,35,1530,53550.00
14,15,2021120503000011,RSDC,34,34,10,751.7,7517.00
15,16,2021120503000010,SHINE,45,14,10,405,4050.00
16,17,2021120503000009,SHINE,39,14,81,405,32805.00
17,18,2021120503000008,SHINE,39,34,119,405,48195.00
18,19,2021120504000016,NHPC,57,4,50,416.1,20805.00
19,20,2021120503000007,SHINE,34,34,10,405,4050.00
20,21,2021120504000015,NHPC,57,54,80,416.1,33288.00
21,22,2021120504000014,NHPC,21,54,200,416.1,83220.00
22,23,2021120503000006,LBBL,34,35,10,573.2,5732.00
23,24,2021120504000013,NHPC,42,54,200,416.1,83220.00
24,25,2021120503000005,EDBL,34,45,10,591.6,5916.00
25,26,2021120504000012,NHPC,47,54,20,416.1,8322.00
26,27,2021120504000011,NHPC,28,43,1000,416.1,416100.00
27,28,2021120504000010,NHPC,28,43,1000,416.1,416100.00
28,29,2021120504000009,NHPC,28,55,400,416.1,166440.00
29,30,2021120501000006,SBL,59,10,70,449,31430.00
30,31,2021120504000008,NHPC,28,42,500,416.1,208050.00
31,32,2021120504000007,NHPC,28,54,100,416.1,41610.00
33,34,2021120501000005,SBL,49,10,100,449,44900.00
34,35,2021120503000004,ICFC,35,28,10,799.7,7997.00
35,36,2021120501000004,SBL,25,10,20,449,8980.00
36,37,2021120504000006,NHPC,47,54,400,416.1,166440.00
38,39,2021120504000005,NHPC,47,47,200,416.1,83220.00
39,40,2021120501000003,SBL,25,10,10,449,4490.00
40,41,2021120503000003,CFCL,49,36,100,520,52000.00
41,42,2021120504000004,NHPC,47,33,500,416.1,208050.00
43,44,2021120504000003,NHPC,47,48,900,416.1,374490.00
45,46,2021120501000002,LBL,58,33,100,305,30500.00
46,47,2021120503000002,NABBC,58,33,50,940,47000.00
47,48,2021120504000002,NHPC,25,48,100,416.1,41610.00
49,50,2021120503000001,NABBC,45,33,100,940,94000.00
50,51,2021120501000001,BOKL,49,58,20,272,5440.00
51,52,2021120504000001,SHL,59,33,470,215,101050.00
